name,type,description,blood_draw,additional_notes
subject_id,int64,Unique identifier for each patient,0,NULL
stay_id,int64,Unique identifier for each hospital stay,0,NULL
SaO2_timestamp,object,Timestamp for SaO2 measurement,1,NULL
SaO2,float64,Arterial oxygen saturation,1,NULL
delta_SpO2,int64,Time offset (in minutes) in the measurement of peripheral oxygen saturation,0,NULL
SpO2,int64,Peripheral oxygen saturation,0,NULL
hidden_hypoxemia,int64,Indicates if the patient had hypoxemia without clinical signs,1,NULL
hadm_id,int64,Unique identifier for each hospital admission,0,NULL
gender,object,Gender of the patient,0,NULL
sex_female,int64,Indicates if the patient is female,0,NULL
anchor_age,int64,Age of the patient at the time of admission,0,NULL
race,object,Race of the patient,0,NULL
race_group,object,Grouping of race into broader categories,0,NULL
language,object,Primary language spoken by the patient,0,NULL
insurance,object,Type of insurance of the patient,0,NULL
weight,float64,Weight of the patient in kilograms,0,NULL
height,float64,Height of the patient in centimeters,0,NULL
BMI,float64,Body Mass Index of the patient,0,NULL
anchor_year_group,object,Grouping of admission year into broader categories,0,NULL
first_hosp_stay,bool,Indicates if this is the first hospital stay for the patient,0,NULL
first_icu_stay,bool,Indicates if this is the first ICU stay for the patient,0,NULL
icustay_seq,int64,Sequence number of ICU stay for the patient,0,NULL
admittime,object,Timestamp for hospital admission,0,NULL
dischtime,object,Timestamp for hospital discharge,0,NULL
icu_intime,object,Timestamp for ICU admission,0,NULL
icu_outtime,object,Timestamp for ICU discharge,0,NULL
los_hospital,int64,Length of hospital stay in days,0,NULL
los_icu,float64,Length of ICU stay in days,0,NULL
CCI,int64,Charlson Comorbidity Index,1,predicts 10-year survival in patients with multiple comorbidities
SOFA_admission,int64,Sequential Organ Failure Assessment (SOFA) score at admission,1,predicts ICU mortality based on lab results and clinical data
mortality_in,int64,Indicates if the patient died during the hospital stay,0,NULL
delta_vent_start,float64,Time since ventilation started (in minutes) at the time of the measurement,0,NULL
ventilation_status,object,Indicates if the patient was on mechanical ventilation,0,NULL
invasive_vent,int64,Indicates if the patient was on invasive mechanical ventilation,0,NULL
delta_FiO2,float64,Time offset (in minutes) in the measurement of inspired oxygen (FiO2),0,an estimation of the oxygen content a person inhales
FiO2,float64,Fraction of inspired oxygen,0,an estimation of the oxygen content a person inhales
delta_rrt,float64,Time since renal replacement therapy (in minutes) at the time of the measurement,0,"dialysis, hemofiltration, and hemodiafiltration"
rrt,int64,Indicates if the patient was on renal replacement therapy,0,"dialysis, hemofiltration, and hemodiafiltration"
delta_vp_start,float64,Time since vasopressor therapy started (in minutes) at the time of the measurement,0,raise your blood pressure when it’s so low that you can’t get enough blood to your organs
norepinephrine_equivalent_dose,float64,Dose of norepinephrine equivalent to other vasopressors (in mcg/kg/min),0,raise your blood pressure when it’s so low that you can’t get enough blood to your organs
delta_sofa_coag,float64,Time offset (in minutes) in the measurement of SOFA score for coagulation from the previous measurement,1,Platelets (×103/µl)
sofa_coag,float64,SOFA score for coagulation,1,Platelets (×103/µl)
